"Abandoned Carts","Abandoned Carts"
"Abandoned carts","Abandoned carts"
"Action","Action"
"Add to Cart","Thêm vào giỏ hàng"
"Add to Compare","So sánh"
"Add to Wishlist","Sản phẩm yêu thích"
"Any","Any"
"Applied Coupon","Applied Coupon"
"Applies to Any of the Specified Order Statuses","Applies to Any of the Specified Order Statuses"
"Are you sure you want to refresh lifetime statistics? There can be performance impact during this operation.","Are you sure you want to refresh lifetime statistics? There can be performance impact during this operation."
"Are you sure?","Are you sure?"
"Avg. Approved Rating","Avg. Approved Rating"
"Avg. Rating","Avg. Rating"
"Bestsellers","Sản phẩm mua nhiều"
"Bought from wishlists","Bought from wishlists"
"CSV","CSV"
"Carts","Giỏ hàng"
"Catalog Category (Without Subcategories)","Catalog Category (Without Subcategories)"
"Compared Products Grid Template","Compared Products Grid Template"
"Compared Products List Template","Compared Products List Template"
"Coupons","Coupons"
"Coupons Usage Report","Coupons Usage Report"
"Created At","Created At"
"Current Month Starts","Current Month Starts"
"Customer","Khách hàng"
"Customer Name","Tên khách hàng"
"Customer Tags","Tag của khách hàng"
"Customers","Khách hàng"
"Customers Report","Báo cáo Khách hàng"
"Customers Reviews","Nhận xét của khách hàng"
"Customers Tags","Tags của khách hàng"
"Customers by Number of Orders","Customers by Number of Orders"
"Customers by Orders Total","Customers by Orders Total"
"Customers by number of orders","Customers by number of orders"
"Customers by orders total","Customers by orders total"
"Customers that have wishlist: %s%","Customers that have wishlist: %s%"
"Dashboard","Màn hình chính"
"Day","Ngày"
"Default Recently Compared Products Count","Default Recently Compared Products Count"
"Default Recently Viewed Products Count","Default Recently Viewed Products Count"
"Description","Thông tin mô tả"
"Detail","Chi tiết"
"Downloads","Downloads"
"Email","Email"
"Empty Rows","Empty Rows"
"Excel XML","Excel XML"
"Filter","Filter"
"First Name","First Name"
"From","Từ"
"Guest","Khách"
"Hits","Hits"
"ID","ID"
"IP Address","IP Address"
"Index model name must be defined","Index model name must be defined"
"Invalid date specified.","Invalid date specified."
"Invoiced","Invoiced"
"Items in Cart","Items in Cart"
"Last Name","Last Name"
"Last Review","Last Review"
"Link","Link"
"List of Products Recently Compared and Removed from the Compare List by Visitor","List of Products Recently Compared and Removed from the Compare List by Visitor"
"List of Products Recently Viewed by Visitor","List of Products Recently Viewed by Visitor"
"Low Stock","Low Stock"
"Low stock","Low stock"
"Match Period To","Match Period To"
"Month","Month"
"Most Viewed","Most Viewed"
"Name","Name"
"New Accounts","New Accounts"
"No","No"
"Number Added","Number Added"
"Number Fulfilled","Number Fulfilled"
"Number Of Reviews","Number Of Reviews"
"Number Purchased","Number Purchased"
"Number Viewed","Number Viewed"
"Number of Items","Number of Items"
"Number of New Accounts","Number of New Accounts"
"Number of Products to display","Number of Products to display"
"Number of Reviews","Number of Reviews"
"Number of Times Deleted","Number of Times Deleted"
"Number of Total Tags","Number of Total Tags"
"Number of Unique Tags","Number of Unique Tags"
"Number of Views","Number of Views"
"Number of items bought from a wishlist: %s","Number of items bought from a wishlist: %s"
"Number of times wishlists have been shared (emailed): %s","Number of times wishlists have been shared (emailed): %s"
"Number of wishlist conversions: %s","Number of wishlist conversions: %s"
"Number of wishlist referrals: %s","Number of wishlist referrals: %s"
"Number of wishlists: %s","Number of wishlists: %s"
"Order Status","Order Status"
"Order Taxes Report Grouped by Tax Rate","Order Taxes Report Grouped by Tax Rate"
"Orders","Orders"
"Out of stock","Out of stock"
"Period","Period"
"Poducts Report","Poducts Report"
"Popular Tags","Popular Tags"
"Popularity","Popularity"
"Price","Price"
"Product Name","Product Name"
"Product Reviews","Product Reviews"
"Product SKU","Product SKU"
"Product Tags","Product Tags"
"Products","Products"
"Products Ordered","Products Ordered"
"Products Report","Products Report"
"Products Reviews","Products Reviews"
"Products Tags","Products Tags"
"Products in carts","Products in carts"
"Purchases","Purchases"
"Quantity Ordered","Quantity Ordered"
"Quantity of Items","Quantity of Items"
"Recently Compared","Mới đánh giá"
"Recently Compared Products","Mới đánh giá"
"Recently Viewed","Bạn vừa xem"
"Recently Viewed Products","Bạn vừa xem"
"Recently Viewed/Compared Products","Sản phẩm mới xem / Đánh giá"
"Refresh Lifetime Statistics","Refresh Lifetime Statistics"
"Refresh Statistics","Refresh Statistics"
"Refresh Statistics for the Last Day","Refresh Statistics for the Last Day"
"Refunds","Refunds"
"Report","Báo cáo"
"Reports","Báo cáo"
"Results","Kết quả"
"Revenue","Revenue"
"Review","Đánh giá"
"Reviews","Đánh giá"
"Reviews for %s","Đánh giá cho %s"
"Sales","Kinh doanh"
"Sales Report","Báo cáo kết quả kinh doanh"
"Search Query","Thông tin tìm kiếm"
"Search Terms","Nhu cầu tìm kiếm"
"Select day of the month.","Select day of the month."
"Shipping","Vận chuyển"
"Shopping Cart","Giỏ hàng"
"Shopping Cart Price Rule","Shopping Cart Price Rule"
"Show Actual Values","Hiển thị giá trị trung bình"
"Show Report","Hiển thị báo cáo"
"Show for Current","Show for Current"
"Specified","Specified"
"Statistics","Statistics"
"Stock Qty","Số lượng trong kho"
"Submitted In","Submitted In"
"Submitted On","Submitted On"
"Subtotal","Tổng tiền"
"Tag","Tag"
"Tag ""%s"" details","Tag ""%s"" details"
"Tag Detail","Tag Detail"
"Tag Name","Tag Name"
"Tag Use","Tag Use"
"Tags Submitted by %s","Tags Submitted by %s"
"Tags submitted to %s","Tags submitted to %s"
"Tax","Thuế"
"Title","Tiêu đề"
"To","Tới"
"Total","Tổng cộng"
"Total Invoiced vs. Paid Report","Total Invoiced vs. Paid Report"
"Total Ordered Report","Total Ordered Report"
"Total Refunded Report","Total Refunded Report"
